District,District_Lat,District_Lon,Mandi,Mandi_Lat,Mandi_Lon,Distance_km,Estimated_Transport_Cost_Rs
Anantapur,14.6819,77.6006,Kurnool APMC,15.8281,78.0373,135.79,4073.66
Anantapur,14.6819,77.6006,Rapur APMC,14.2,79.5333,214.9,6447.09
Anantapur,14.6819,77.6006,Tirupati APMC,13.6288,79.4192,228.38,6851.42
Anantapur,14.6819,77.6006,Rajampet APMC,14.1933,79.1606,176.55,5296.57
Anantapur,14.6819,77.6006,Ambajipeta APMC,16.715,81.99,521.39,15641.83
Anantapur,14.6819,77.6006,Rajahmundry APMC,16.9891,81.784,515.8,15474.03
Anantapur,14.6819,77.6006,Ravulapalem APMC,16.7667,81.8333,508.87,15266.19
Anantapur,14.6819,77.6006,Thiruchanur APMC,13.6173,79.4105,228.24,6847.22
Anantapur,14.6819,77.6006,Vijayanagaram APMC,18.1067,83.3956,725.94,21778.35
Anantapur,14.6819,77.6006,Nandyal APMC,15.477,78.4836,129.63,3888.93
Anantapur,14.6819,77.6006,Palamaner APMC,13.1992,78.7476,206.16,6184.89
Anantapur,14.6819,77.6006,Tadikonda APMC,16.4128,80.4534,361.15,10834.56
Anantapur,14.6819,77.6006,Tiruvuru APMC,17.1,80.6333,421.27,12638.08
Anantapur,14.6819,77.6006,Adoni APMC,15.6279,77.2749,110.85,3325.4
Anantapur,14.6819,77.6006,Atmakur(SPS) APMC,14.6247,79.4126,195.03,5851.05
Anantapur,14.6819,77.6006,Dharmavaram APMC,14.4143,77.7126,32.1,963.14
Anantapur,14.6819,77.6006,Tenakallu APMC,14.25,77.7333,50.11,1503.16
Anantapur,14.6819,77.6006,Cuddapah APMC,14.4673,78.8242,133.82,4014.73
Anantapur,14.6819,77.6006,Lakkireddipalli APMC,14.1283,78.7239,135.74,4072.15
Anantapur,14.6819,77.6006,Pulivendula APMC,14.4214,78.225,73.18,2195.39
Anantapur,14.6819,77.6006,Yemmiganur APMC,15.772,77.483,121.87,3656.05
Anantapur,14.6819,77.6006,Gudur APMC,14.1467,79.85,249.45,7483.47
Anantapur,14.6819,77.6006,Kadiri APMC,14.1116,78.1616,87.59,2627.72
Anantapur,14.6819,77.6006,Jaggayyapeta APMC,16.8938,80.0971,363.09,10892.8
Anantapur,14.6819,77.6006,Mylavaram APMC,16.7626,80.642,399.36,11980.71
Anantapur,14.6819,77.6006,Bangarupalyam APMC,13.2123,78.95,218.88,6566.37
Anantapur,14.6819,77.6006,Chittoor APMC,13.2172,79.1003,229.6,6888.02
Anantapur,14.6819,77.6006,Puttur APMC,13.4416,79.5535,251.77,7553.2
Anantapur,14.6819,77.6006,Rampachodavaram APMC,17.4333,81.7833,541.58,16247.4
Anantapur,14.6819,77.6006,Proddatur APMC,14.75,78.55,102.39,3071.58
Anantapur,14.6819,77.6006,Jaggampeta APMC,17.1865,82.059,552.05,16561.36
Anantapur,14.6819,77.6006,Kakinada APMC,16.9891,82.2475,559.35,16780.6
Anantapur,14.6819,77.6006,Karapa APMC,16.9833,82.2333,557.71,16731.43
Anantapur,14.6819,77.6006,Peddapuram APMC,17.0833,82.1333,553.4,16602.06
Anantapur,14.6819,77.6006,Prattipadu APMC,16.3,80.4167,351.32,10539.51
Anantapur,14.6819,77.6006,Tuni APMC,17.35,82.55,606.44,18193.18
Anantapur,14.6819,77.6006,Divi APMC,16.45,81.15,428,12840.11
Anantapur,14.6819,77.6006,Nellore APMC,14.4426,79.9865,258.15,7744.53
Anantapur,14.6819,77.6006,Chintapalli APMC,17.8667,82.35,618.31,18549.43
Anantapur,14.6819,77.6006,Gopalavaram APMC,16.7333,81.6833,492.94,14788.18
Anantapur,14.6819,77.6006,Anantapur APMC,14.6819,77.6006,0,0
Anantapur,14.6819,77.6006,Valmikipuram APMC,13.9167,79.2167,193.81,5814.27
Anantapur,14.6819,77.6006,Kalikiri APMC,13.55,78.8,180.47,5414.09
Anantapur,14.6819,77.6006,Madanapalli APMC,13.5503,78.5029,159.06,4771.79
Anantapur,14.6819,77.6006,Mulakalacheruvu APMC,13.8,78.3833,129.35,3880.61
